course,type/info,day+time,location,enrollment,Instructor

NURS&nbsp; 206 - 003&nbsp;&nbsp; Nursing Practicum: Care of Chronic and/or Acutely Ill Adults I,Queen's University | 2022 Winter | Laboratory,Fr 14:30 - 16:30,CATARAQUI&nbsp; RM221 SIM LAB,21,"Filion,Riley"

SPAN&nbsp; 206 - 001&nbsp;&nbsp; Spanish Conversation and Culture,Queen's University | 2022 Winter | Lecture,Mo 08:30 - 10:00,KINGSTON RM313,9,"Lizano,Max Antonio"

GPHY&nbsp; 207 - 001&nbsp;&nbsp; Principles Of Biogeography,Queen's University | 2022 Winter | Lecture,Mo 15:30 - 16:30,TBA,91,"Zhang,Junyan"

GPHY&nbsp; 207 - 002&nbsp;&nbsp; Principles Of Biogeography,Queen's University | 2022 Winter | Practicum,Tu 11:30 - 13:00,MACINTOSH-CORRY RM E229,33,"Zhang,Junyan"

GPHY&nbsp; 207 - 003&nbsp;&nbsp; Principles Of Biogeography,Queen's University | 2022 Winter | Practicum,Tu 10:00 - 11:30,MACINTOSH-CORRY RM E229,30,"Zhang,Junyan"

GPHY&nbsp; 207 - 004&nbsp;&nbsp; Principles Of Biogeography,Queen's University | 2022 Winter | Practicum,Tu 08:30 - 10:00,MACINTOSH-CORRY RM E229,28,"Zhang,Junyan"

NURS&nbsp; 207 - 001&nbsp;&nbsp; Nursing Practicum: Care of Chronic and/or Acutely Ill Adults II,Queen's University | 2022 Winter | Clinical,Mo 08:30 - 15:00,TBA,127,"Bolton,Kristen"

NURS&nbsp; 207 - 003&nbsp;&nbsp; Nursing Practicum: Care of Chronic and/or Acutely Ill Adults II,Queen's University | 2022 Winter | Laboratory,Mo 08:30 - 10:00,CATARAQUI&nbsp; RM221 SIM LAB,19,"Bolton,Kristen"

NURS&nbsp; 207 - 004&nbsp;&nbsp; Nursing Practicum: Care of Chronic and/or Acutely Ill Adults II,Queen's University | 2022 Winter | Laboratory,Mo 10:30 - 12:30,CATARAQUI&nbsp; RM221 SIM LAB,22,"Bolton,Kristen"

NURS&nbsp; 207 - 006&nbsp;&nbsp; Nursing Practicum: Care of Chronic and/or Acutely Ill Adults II,Queen's University | 2022 Winter | Laboratory,Tu 08:30 - 10:00,CATARAQUI&nbsp; RM221 SIM LAB,24,"Bolton,Kristen"

NURS&nbsp; 207 - 007&nbsp;&nbsp; Nursing Practicum: Care of Chronic and/or Acutely Ill Adults II,Queen's University | 2022 Winter | Laboratory,Tu 10:30 - 12:30,CATARAQUI&nbsp; RM221 SIM LAB,22,"Bolton,Kristen"

NURS&nbsp; 207 - 008&nbsp;&nbsp; Nursing Practicum: Care of Chronic and/or Acutely Ill Adults II,Queen's University | 2022 Winter | Laboratory,Mo 13:00 - 15:00,CATARAQUI&nbsp; RM221 SIM LAB,19,"Bolton,Kristen"

NURS&nbsp; 207 - 009&nbsp;&nbsp; Nursing Practicum: Care of Chronic and/or Acutely Ill Adults II,Queen's University | 2022 Winter | Laboratory,Tu 13:00 - 15:00,CATARAQUI&nbsp; RM221 SIM LAB,21,"Bolton,Kristen"

NURS&nbsp; 209 - 001&nbsp;&nbsp; Gerontological Nursing,Queen's University | 2022 Winter | Lecture,Th 08:30 - 11:30,CONVOCATION HALL,172,"Woo,Kevin Y"

CHEE&nbsp; 210 - 001&nbsp;&nbsp; Thermodynamics of Energy Conversion Systems,Queen's University | 2022 Winter | Lecture,Mo 09:30 - 10:30,KINGSTON RM201,104,"Hudon,Nicolas"

CHEE&nbsp; 210 - 002&nbsp;&nbsp; Thermodynamics of Energy Conversion Systems,Queen's University | 2022 Winter | Tutorial,We 16:30 - 17:30,STIRLING RM B,104,"Hudon,Nicolas"

DEVS&nbsp; 210 - 001&nbsp;&nbsp; Development in Practice,Queen's University | 2022 Winter | Lecture,Tu 11:30 - 13:30,ELLIS RM321,68,"Resurreccion,Bernadette P."

DEVS&nbsp; 210 - 002&nbsp;&nbsp; Development in Practice,Queen's University | 2022 Winter | Tutorial,Tu 10:30 - 11:30,ELLIS RM319,28,Staff

DEVS&nbsp; 210 - 004&nbsp;&nbsp; Development in Practice,Queen's University | 2022 Winter | Tutorial,We 09:30 - 10:30,ELLIS RM319,16,Staff

DEVS&nbsp; 210 - 005&nbsp;&nbsp; Development in Practice,Queen's University | 2022 Winter | Tutorial,We 10:30 - 11:30,ELLIS RM319,24,Staff

LING&nbsp; 210 - 001&nbsp;&nbsp; Language Acquisition and Learning,Queen's University | 2022 Winter | Lecture,Mo 14:30 - 16:00,TBA,37,"Jessop,Lorena"

MATH&nbsp; 210 - 001&nbsp;&nbsp; Rings and Fields,Queen's University | 2022 Winter | Lecture,Tu 09:30 - 10:30,STIRLING RM B,89,"Pfaff,Catherine Eva"

MATH&nbsp; 210 - 002&nbsp;&nbsp; Rings and Fields,Queen's University | 2022 Winter | Tutorial,Tu 15:30 - 16:30,STIRLING RM A,89,Staff

MECH&nbsp; 210 - 001&nbsp;&nbsp; Electronic Circuits and Motors for Mechatronics,Queen's University | 2022 Winter | Lecture,Mo 08:30 - 09:30,DUNNING AUD,296,"Dobri,Stephan Christopher Dooley"

MECH&nbsp; 210 - 002&nbsp;&nbsp; Electronic Circuits and Motors for Mechatronics,Queen's University | 2022 Winter | Tutorial,Th 11:30 - 13:30,MITCHELL RM215,140,"Dobri,Stephan Christopher Dooley"

MECH&nbsp; 210 - 003&nbsp;&nbsp; Electronic Circuits and Motors for Mechatronics,Queen's University | 2022 Winter | Tutorial,Th 18:30 - 20:30,MITCHELL RM215,156,"Dobri,Stephan Christopher Dooley"

MECH&nbsp; 210 - 004&nbsp;&nbsp; Electronic Circuits and Motors for Mechatronics,Queen's University | 2022 Winter | Laboratory,Th 14:30 - 16:30,MITCHELL RM 211,47,"Dobri,Stephan Christopher Dooley"

MECH&nbsp; 210 - 005&nbsp;&nbsp; Electronic Circuits and Motors for Mechatronics,Queen's University | 2022 Winter | Laboratory,Th 16:30 - 18:30,MITCHELL RM 211,45,"Dobri,Stephan Christopher Dooley"

MECH&nbsp; 210 - 006&nbsp;&nbsp; Electronic Circuits and Motors for Mechatronics,Queen's University | 2022 Winter | Laboratory,Mo 14:30 - 16:30,MITCHELL RM 211,44,"Dobri,Stephan Christopher Dooley"

MECH&nbsp; 210 - 007&nbsp;&nbsp; Electronic Circuits and Motors for Mechatronics,Queen's University | 2022 Winter | Laboratory,We 15:30 - 17:30,MITCHELL RM 211,49,"Dobri,Stephan Christopher Dooley"

MECH&nbsp; 210 - 008&nbsp;&nbsp; Electronic Circuits and Motors for Mechatronics,Queen's University | 2022 Winter | Laboratory,Fr 08:30 - 10:30,MITCHELL RM 211,42,"Dobri,Stephan Christopher Dooley"

MECH&nbsp; 210 - 009&nbsp;&nbsp; Electronic Circuits and Motors for Mechatronics,Queen's University | 2022 Winter | Laboratory,Tu 12:30 - 14:30,MITCHELL RM 211,35,"Dobri,Stephan Christopher Dooley"

MECH&nbsp; 210 - 010&nbsp;&nbsp; Electronic Circuits and Motors for Mechatronics,Queen's University | 2022 Winter | Laboratory,We 09:30 - 11:30,MITCHELL RM 211,34,"Dobri,Stephan Christopher Dooley"

COMM&nbsp; 211 - 700&nbsp;&nbsp; Financial Accounting,Queen's University | 2022 Winter | Lecture,TBA,TBA,97,"Webster,Erin"

ENPH&nbsp; 211 - 001&nbsp;&nbsp; Applied Physics,Queen's University | 2022 Winter | Lecture,Mo 11:30 - 12:30,STIRLING RM B,125,"Di Stefano,Philippe"

ENPH&nbsp; 211 - 002&nbsp;&nbsp; Applied Physics,Queen's University | 2022 Winter | Tutorial,Tu 11:30 - 12:30,STIRLING RM B,125,"Di Stefano,Philippe"

MUSC&nbsp; 211 - 001&nbsp;&nbsp; Western Art Music: Industrialization to the Internet,Queen's University | 2022 Winter | Lecture,We 13:00 - 14:30,HARRISON-LECAINE RM124,30,"Christie,Darrell"

SOCY&nbsp; 211 - 001&nbsp;&nbsp; Introduction to Statistics,Queen's University | 2022 Winter | Lecture,Tu 11:30 - 13:30,STIRLING AUD,168,"Sytsma,Victoria A"

SOCY&nbsp; 211 - 002&nbsp;&nbsp; Introduction to Statistics,Queen's University | 2022 Winter | Laboratory,Mo 08:30 - 09:30,JEFFERY RM157,26,"Sytsma,Victoria A"

SOCY&nbsp; 211 - 003&nbsp;&nbsp; Introduction to Statistics,Queen's University | 2022 Winter | Laboratory,Mo 09:30 - 10:30,JEFFERY RM157,23,"Sytsma,Victoria A"

SOCY&nbsp; 211 - 004&nbsp;&nbsp; Introduction to Statistics,Queen's University | 2022 Winter | Laboratory,Mo 15:30 - 16:30,JEFFERY RM157,24,"Sytsma,Victoria A"

SOCY&nbsp; 211 - 005&nbsp;&nbsp; Introduction to Statistics,Queen's University | 2022 Winter | Laboratory,Mo 14:30 - 15:30,JEFFERY RM157,24,"Sytsma,Victoria A"

SOCY&nbsp; 211 - 006&nbsp;&nbsp; Introduction to Statistics,Queen's University | 2022 Winter | Laboratory,Mo 13:30 - 14:30,JEFFERY RM157,25,"Sytsma,Victoria A"

SOCY&nbsp; 211 - 007&nbsp;&nbsp; Introduction to Statistics,Queen's University | 2022 Winter | Laboratory,Mo 12:30 - 13:30,JEFFERY RM157,12,"Sytsma,Victoria A"

SOCY&nbsp; 211 - 008&nbsp;&nbsp; Introduction to Statistics,Queen's University | 2022 Winter | Laboratory,Mo 11:30 - 12:30,JEFFERY RM157,16,"Sytsma,Victoria A"

SOCY&nbsp; 211 - 009&nbsp;&nbsp; Introduction to Statistics,Queen's University | 2022 Winter | Laboratory,Mo 10:30 - 11:30,JEFFERY RM157,18,"Sytsma,Victoria A"

BIOL&nbsp; 212 - 001&nbsp;&nbsp; Scientific Methods in Biology,Queen's University | 2022 Winter | Lecture,Mo 14:30 - 15:30,ETHERINGTON AUD,185,"Eckert,Christopher G,<br>
Moyes,Christopher D,<br>
Chin-Sang,Ian,<br>
Arnott,Shelley"

BIOL&nbsp; 212 - 002&nbsp;&nbsp; Scientific Methods in Biology,Queen's University | 2022 Winter | Laboratory,TuTh 08:30 - 10:30,BIOSCI RM2311,37,"Choudhury,Baharul,<br>
Vanderbeld,Barb,<br>
Rooke,Anna Christine,<br>
Teresinski,Howard James"

BIOL&nbsp; 212 - 003&nbsp;&nbsp; Scientific Methods in Biology,Queen's University | 2022 Winter | Laboratory,TuTh 11:30 - 13:30,BIOSCI RM3326,20,"Choudhury,Baharul,<br>
Vanderbeld,Barb,<br>
Rooke,Anna Christine,<br>
Teresinski,Howard James"

BIOL&nbsp; 212 - 004&nbsp;&nbsp; Scientific Methods in Biology,Queen's University | 2022 Winter | Laboratory,TuTh 11:30 - 13:30,BIOSCI RM2311,40,"Choudhury,Baharul,<br>
Vanderbeld,Barb,<br>
Rooke,Anna Christine,<br>
Teresinski,Howard James"

BIOL&nbsp; 212 - 005&nbsp;&nbsp; Scientific Methods in Biology,Queen's University | 2022 Winter | Laboratory,TuTh 14:30 - 16:30,BIOSCI RM3326,18,"Choudhury,Baharul,<br>
Vanderbeld,Barb,<br>
Rooke,Anna Christine,<br>
Teresinski,Howard James"

BIOL&nbsp; 212 - 006&nbsp;&nbsp; Scientific Methods in Biology,Queen's University | 2022 Winter | Laboratory,TuTh 14:30 - 16:30,BIOSCI RM2311,40,"Choudhury,Baharul,<br>
Vanderbeld,Barb,<br>
Rooke,Anna Christine,<br>
Teresinski,Howard James"

BIOL&nbsp; 212 - 007&nbsp;&nbsp; Scientific Methods in Biology,Queen's University | 2022 Winter | Laboratory,WeFr 08:30 - 10:30,BIOSCI RM3326,6,"Choudhury,Baharul,<br>
Vanderbeld,Barb,<br>
Rooke,Anna Christine,<br>
Teresinski,Howard James"

BIOL&nbsp; 212 - 008&nbsp;&nbsp; Scientific Methods in Biology,Queen's University | 2022 Winter | Laboratory,WeFr 08:30 - 10:30,BIOSCI RM2311,14,"Choudhury,Baharul,<br>
Vanderbeld,Barb,<br>
Rooke,Anna Christine,<br>
Teresinski,Howard James"

BIOL&nbsp; 212 - 009&nbsp;&nbsp; Scientific Methods in Biology,Queen's University | 2022 Winter | Laboratory,WeFr 11:30 - 13:30,BIOSCI RM3326,7,"Choudhury,Baharul,<br>
Vanderbeld,Barb,<br>
Rooke,Anna Christine,<br>
Teresinski,Howard James"

BIOL&nbsp; 212 - 010&nbsp;&nbsp; Scientific Methods in Biology,Queen's University | 2022 Winter | Laboratory,WeFr 11:30 - 13:30,BIOSCI RM2311,3,"Choudhury,Baharul,<br>
Vanderbeld,Barb,<br>
Rooke,Anna Christine,<br>
Teresinski,Howard James"

CMPE&nbsp; 212 - 001&nbsp;&nbsp; Introduction to Computing Science II,Queen's University | 2022 Winter | Lecture,Mo 09:30 - 10:30,STIRLING RM A,71,"Ma,Burton"

CMPE&nbsp; 212 - 002&nbsp;&nbsp; Introduction to Computing Science II,Queen's University | 2022 Winter | Laboratory,Mo 12:30 - 14:30,JEFFERY RM155,22,"Ma,Burton"

CMPE&nbsp; 212 - 003&nbsp;&nbsp; Introduction to Computing Science II,Queen's University | 2022 Winter | Laboratory,Tu 14:30 - 16:30,JEFFERY RM155,22,"Ma,Burton"

CMPE&nbsp; 212 - 004&nbsp;&nbsp; Introduction to Computing Science II,Queen's University | 2022 Winter | Laboratory,Fr 14:30 - 16:30,JEFFERY RM155,27,"Ma,Burton"

COMM&nbsp; 212 - 700&nbsp;&nbsp; Management Accounting,Queen's University | 2022 Winter | Lecture,TBA,TBA,105,"Schobel,Kurt"

ECON&nbsp; 212 - 001&nbsp;&nbsp; Microeconomic Theory I,Queen's University | 2022 Winter | Lecture,Mo 11:30 - 13:00,DUNNING RM14,34,"Gong,Yiran"

ECON&nbsp; 212 - 002&nbsp;&nbsp; Microeconomic Theory I,Queen's University | 2022 Winter | Lecture,Tu 16:00 - 17:30,DUNNING RM14,45,"Barber,Michael"

"FOCI&nbsp; 212 - 700&nbsp;&nbsp; Broad-Based Tech Ed, Pt 1",Queen's University | 2022 Winter | Lecture,TBA,TBA,15,"Holtermann,Ena B"

HIST&nbsp; 212 - 001&nbsp;&nbsp; Experiential Learning in Historical Practice,Queen's University | 2022 Winter | Practicum,TBA,TBA,14,"Lucas,Jennifer Emily"

MATH&nbsp; 212 - 001&nbsp;&nbsp; Linear Algebra ll,Queen's University | 2022 Winter | Lecture,Mo 14:30 - 15:30,KINGSTON RM201,88,"Zalloum,Abdalrazzaq R A"

MATH&nbsp; 212 - 002&nbsp;&nbsp; Linear Algebra ll,Queen's University | 2022 Winter | Tutorial,Tu 13:30 - 14:30,JEFFERY RM128,35,Staff

MATH&nbsp; 212 - 003&nbsp;&nbsp; Linear Algebra ll,Queen's University | 2022 Winter | Tutorial,Tu 12:30 - 13:30,JEFFERY RM128,53,Staff

MECH&nbsp; 212 - 001&nbsp;&nbsp; Machine Tool Laboratory,Queen's University | 2022 Winter | Laboratory,Th 09:30 - 11:30,MCLAUGHLIN SHOP,38,"Bryson,Andrew J"

MECH&nbsp; 212 - 002&nbsp;&nbsp; Machine Tool Laboratory,Queen's University | 2022 Winter | Laboratory,Tu 14:30 - 16:30,MCLAUGHLIN SHOP,34,"Bryson,Andrew J"

MECH&nbsp; 212 - 003&nbsp;&nbsp; Machine Tool Laboratory,Queen's University | 2022 Winter | Laboratory,Fr 08:30 - 10:30,MCLAUGHLIN SHOP,32,"Bryson,Andrew J"

MTHE&nbsp; 212 - 001&nbsp;&nbsp; Linear Algebra,Queen's University | 2022 Winter | Lecture,Mo 14:30 - 15:30,KINGSTON RM201,88,"Zalloum,Abdalrazzaq R A"

MTHE&nbsp; 212 - 002&nbsp;&nbsp; Linear Algebra,Queen's University | 2022 Winter | Tutorial,Tu 13:30 - 14:30,JEFFERY RM128,35,Staff

MTHE&nbsp; 212 - 003&nbsp;&nbsp; Linear Algebra,Queen's University | 2022 Winter | Tutorial,Tu 12:30 - 13:30,JEFFERY RM128,53,Staff

PHYS&nbsp; 212 - 001&nbsp;&nbsp; Vibrations and Waves,Queen's University | 2022 Winter | Lecture,Mo 11:30 - 12:30,STIRLING RM B,125,"Di Stefano,Philippe"

PHYS&nbsp; 212 - 002&nbsp;&nbsp; Vibrations and Waves,Queen's University | 2022 Winter | Tutorial,Tu 11:30 - 12:30,STIRLING RM B,125,"Di Stefano,Philippe"

POLS&nbsp; 212 - 001&nbsp;&nbsp; Canadian Politics,Queen's University | 2022 Winter | Lecture,We 13:00 - 14:30,DUPUIS AUD,197,"Laforest,Rachel"

POLS&nbsp; 212 - 002&nbsp;&nbsp; Canadian Politics,Queen's University | 2022 Winter | Tutorial,We 14:30 - 15:30,JEFFERY RM115,25,"Laforest,Rachel"

POLS&nbsp; 212 - 003&nbsp;&nbsp; Canadian Politics,Queen's University | 2022 Winter | Tutorial,We 14:30 - 15:30,KINES &amp; HLTH RM106,24,"Laforest,Rachel"

POLS&nbsp; 212 - 004&nbsp;&nbsp; Canadian Politics,Queen's University | 2022 Winter | Tutorial,We 14:30 - 15:30,MACINTOSH-CORRY RM A309,24,"Laforest,Rachel"

POLS&nbsp; 212 - 005&nbsp;&nbsp; Canadian Politics,Queen's University | 2022 Winter | Tutorial,We 14:30 - 15:30,JEFFERY RM422,24,"Laforest,Rachel"

POLS&nbsp; 212 - 006&nbsp;&nbsp; Canadian Politics,Queen's University | 2022 Winter | Tutorial,We 15:30 - 16:30,KINES &amp; HLTH RM106,25,"Laforest,Rachel"

POLS&nbsp; 212 - 007&nbsp;&nbsp; Canadian Politics,Queen's University | 2022 Winter | Tutorial,We 16:30 - 17:30,KINES &amp; HLTH RM107,26,"Laforest,Rachel"

POLS&nbsp; 212 - 008&nbsp;&nbsp; Canadian Politics,Queen's University | 2022 Winter | Tutorial,Mo 08:30 - 09:30,TBA,24,"Laforest,Rachel"

POLS&nbsp; 212 - 009&nbsp;&nbsp; Canadian Politics,Queen's University | 2022 Winter | Tutorial,Mo 12:30 - 13:30,TBA,25,"Laforest,Rachel"

ENPH&nbsp; 213 - 001&nbsp;&nbsp; Computational Eng. Physics,Queen's University | 2022 Winter | Lecture,We 10:30 - 11:30,ELLIS RM324,78,"Hughes,Stephen"

ENPH&nbsp; 213 - 002&nbsp;&nbsp; Computational Eng. Physics,Queen's University | 2022 Winter | Laboratory,Tu 15:30 - 18:30,BEAMISH-MUNRO RM213,35,"Hughes,Stephen"

ENPH&nbsp; 213 - 003&nbsp;&nbsp; Computational Eng. Physics,Queen's University | 2022 Winter | Laboratory,We 14:30 - 17:30,BEAMISH-MUNRO RM213,43,"Hughes,Stephen"

ENPH&nbsp; 213 - 004&nbsp;&nbsp; Computational Eng. Physics,Queen's University | 2022 Winter | Tutorial,Fr 13:30 - 14:30,BEAMISH-MUNRO RM213,78,"Hughes,Stephen"

LLCU&nbsp; 213 - 001&nbsp;&nbsp; The Social History of Organized Crime in Canada,Queen's University | 2022 Winter | Lecture,Tu 18:30 - 21:30,ETHERINGTON AUD,271,"Nicaso,Antonio"

CLST&nbsp; 214 - 001&nbsp;&nbsp; Ancient Science,Queen's University | 2022 Winter | Lecture,Mo 11:30 - 12:30,JEFFERY RM126,95,"Lehoux,Daryn R"

"FOCI&nbsp; 214 - 700&nbsp;&nbsp; Broad-Based Tech Ed, Pt 2",Queen's University | 2022 Winter | Lecture,TBA,TBA,6,"Holtermann,Ena B"

"LLCU&nbsp; 214 - 001&nbsp;&nbsp; Mafia Culture and the Power of Symbols, Rituals and Myth",Queen's University | 2022 Winter | Lecture,We 18:30 - 21:30,ETHERINGTON AUD,272,"Santeramo,Donato,<br>
Nicaso,Antonio"

ARTH&nbsp; 215 - 001&nbsp;&nbsp; Renaissance Art and Architecture After 1500,Queen's University | 2022 Winter | Lecture,Tu 10:00 - 11:30,KINES &amp; HLTH RM100,82,"D'Elia,Una"

CIVL&nbsp; 215 - 001&nbsp;&nbsp; Materials For Civil Engineers,Queen's University | 2022 Winter | Lecture,Mo 08:30 - 09:30,STIRLING RM B,115,"Abdelaal,Fady Badran"

CIVL&nbsp; 215 - 002&nbsp;&nbsp; Materials For Civil Engineers,Queen's University | 2022 Winter | Tutorial,We 14:30 - 17:30,STIRLING RM401,59,"Abdelaal,Fady Badran"

CIVL&nbsp; 215 - 003&nbsp;&nbsp; Materials For Civil Engineers,Queen's University | 2022 Winter | Tutorial,We 14:30 - 17:30,NICOL RM321,56,"Abdelaal,Fady Badran"

GNDS&nbsp; 215 - 001&nbsp;&nbsp; Introduction to Sexual and Gender Diversity,Queen's University | 2022 Winter | Lecture,We 14:30 - 16:30,KINGSTON RM201,140,"Houghtaling,Melissa"

GNDS&nbsp; 215 - 002&nbsp;&nbsp; Introduction to Sexual and Gender Diversity,Queen's University | 2022 Winter | Tutorial,Th 11:30 - 12:30,JOHN WATSON RM122,21,"Houghtaling,Melissa"

GNDS&nbsp; 215 - 003&nbsp;&nbsp; Introduction to Sexual and Gender Diversity,Queen's University | 2022 Winter | Tutorial,Th 11:30 - 12:30,KINGSTON RM209,21,"Houghtaling,Melissa"

GNDS&nbsp; 215 - 004&nbsp;&nbsp; Introduction to Sexual and Gender Diversity,Queen's University | 2022 Winter | Tutorial,Th 11:30 - 12:30,JEFFERY RM115,21,"Houghtaling,Melissa"

GNDS&nbsp; 215 - 005&nbsp;&nbsp; Introduction to Sexual and Gender Diversity,Queen's University | 2022 Winter | Tutorial,Th 11:30 - 12:30,ONTARIO RM207,21,"Houghtaling,Melissa"

GNDS&nbsp; 215 - 006&nbsp;&nbsp; Introduction to Sexual and Gender Diversity,Queen's University | 2022 Winter | Tutorial,Th 08:30 - 09:30,KINGSTON RM210,20,"Houghtaling,Melissa"

GNDS&nbsp; 215 - 007&nbsp;&nbsp; Introduction to Sexual and Gender Diversity,Queen's University | 2022 Winter | Tutorial,Th 08:30 - 09:30,KINGSTON RM209,19,"Houghtaling,Melissa"

GNDS&nbsp; 215 - 008&nbsp;&nbsp; Introduction to Sexual and Gender Diversity,Queen's University | 2022 Winter | Tutorial,Th 08:30 - 09:30,JOHN WATSON RM122,6,"Houghtaling,Melissa"

GNDS&nbsp; 215 - 009&nbsp;&nbsp; Introduction to Sexual and Gender Diversity,Queen's University | 2022 Winter | Tutorial,Th 08:30 - 09:30,MACINTOSH-CORRY RM D122,11,"Houghtaling,Melissa"

HIST&nbsp; 215 - 001&nbsp;&nbsp; Sport and the Spectacle of Violence from Antiquity to the Renaissance,Queen's University | 2022 Winter | Lecture,Tu 11:30 - 13:00,KINES &amp; HLTH RM100,144,"D'Elia,Anthony Francis"

ANAT&nbsp; 216 - 001&nbsp;&nbsp; Principles of Human Morphology II,Queen's University | 2022 Winter | Lecture,Mo 10:30 - 11:30,ELLIS AUD,125,"Pang,Stephen C,<br>
MacKenzie,Leslie,<br>
Elbatarny,Hisham,<br>
Tayade,Chandrakant"

ANAT&nbsp; 216 - 002&nbsp;&nbsp; Principles of Human Morphology II,Queen's University | 2022 Winter | Laboratory,Tu 08:30 - 10:30,MEDS RM302 - Anatomy,42,"MacKenzie,Leslie"

ANAT&nbsp; 216 - 003&nbsp;&nbsp; Principles of Human Morphology II,Queen's University | 2022 Winter | Laboratory,Tu 12:30 - 14:30,MEDS RM302 - Anatomy,54,"MacKenzie,Leslie"

ANAT&nbsp; 216 - 004&nbsp;&nbsp; Principles of Human Morphology II,Queen's University | 2022 Winter | Laboratory,Tu 14:30 - 16:30,MEDS RM302 - Anatomy,29,"MacKenzie,Leslie"

FILM&nbsp; 216 - 001&nbsp;&nbsp; Historical Inquiry,Queen's University | 2022 Winter | Lecture,Mo 14:30 - 17:30,IBCPA RM222,61,"MacKenzie,Scott"

FILM&nbsp; 216 - 002&nbsp;&nbsp; Historical Inquiry,Queen's University | 2022 Winter | Laboratory,We 14:30 - 16:30,IBCPA RM222,61,"MacKenzie,Scott"

PHGY&nbsp; 216 - 001&nbsp;&nbsp; Principles of Mammalian Physiology ll,Queen's University | 2022 Winter | Online,TBA,TBA,436,"Ward,Christopher"

PHGY&nbsp; 216 - 002&nbsp;&nbsp; Principles of Mammalian Physiology ll,Queen's University | 2022 Winter | Blended,Fr 13:30 - 15:30,MEDS RM 032A,117,"Ward,Christopher"

PHGY&nbsp; 216 - 003&nbsp;&nbsp; Principles of Mammalian Physiology ll,Queen's University | 2022 Winter | Blended,Fr 13:30 - 15:30,MEDS RM 132A,116,"Ward,Christopher"

PHYS&nbsp; 216 - 001&nbsp;&nbsp; Introduction to Astrophysics,Queen's University | 2022 Winter | Lecture,Mo 16:30 - 17:30,GOODWIN RM254,42,"Sadavoy,Sarah"

BCHM&nbsp; 218 - 001&nbsp;&nbsp; Molecular Biology,Queen's University | 2022 Winter | Blended,Th 16:30 - 18:30,MEDS RM 132A,66,"van Staalduinen,Laura"

CHEE&nbsp; 218 - 001&nbsp;&nbsp; Laboratory Projects I,Queen's University | 2022 Winter | Laboratory,Mo 11:30 - 14:30,DUPUIS LAB,62,"Poirier,David"

FILM&nbsp; 218 - 001&nbsp;&nbsp; Film and Media History and Theory Post-1960,Queen's University | 2022 Winter | Lecture,Mo 08:30 - 11:30,Law Building RM1,115,"Vena,Dan"

FILM&nbsp; 218 - 002&nbsp;&nbsp; Film and Media History and Theory Post-1960,Queen's University | 2022 Winter | Laboratory,We 08:30 - 09:30,Law Building RM1,115,"Vena,Dan"

FILM&nbsp; 218 - 003&nbsp;&nbsp; Film and Media History and Theory Post-1960,Queen's University | 2022 Winter | Tutorial,We 09:30 - 10:30,NICOL RM232,34,Staff

FILM&nbsp; 218 - 004&nbsp;&nbsp; Film and Media History and Theory Post-1960,Queen's University | 2022 Winter | Tutorial,We 09:30 - 10:30,ONTARIO RM206,37,Staff

FILM&nbsp; 218 - 005&nbsp;&nbsp; Film and Media History and Theory Post-1960,Queen's University | 2022 Winter | Tutorial,We 10:30 - 11:30,ONTARIO RM206,34,Staff

FILM&nbsp; 218 - 006&nbsp;&nbsp; Film and Media History and Theory Post-1960,Queen's University | 2022 Winter | Tutorial,We 10:30 - 11:30,ONTARIO RM209,10,Staff

FREN&nbsp; 219 - 001&nbsp;&nbsp; Communication et Culture IV,Queen's University | 2022 Winter | Seminar,Tu 16:00 - 17:30,KINGSTON RM313,34,"Philippe-Beauchamp,Xavier,<br>
Fiore,Francesca"

FREN&nbsp; 219 - 002&nbsp;&nbsp; Communication et Culture IV,Queen's University | 2022 Winter | Seminar,Tu 11:30 - 13:00,KINGSTON RM313,34,"St-Jacques,Sylvie,<br>
Fiore,Francesca"

"HIST&nbsp; 219 - 001&nbsp;&nbsp; ""Canada"": The History of an Idea",Queen's University | 2022 Winter | Lecture,Tu 16:00 - 17:30,CHERNOFF RM117,77,"Caron,Caroline-Isabelle"

ARTH&nbsp; 220 - 001&nbsp;&nbsp; Socially Engaged Art,Queen's University | 2022 Winter | Lecture,We 13:00 - 14:30,DUNNING RM14,94,"Kennedy,Jennifer"

CISC&nbsp; 220 - 001&nbsp;&nbsp; System Level Programming,Queen's University | 2022 Winter | Lecture,Tu 11:30 - 12:30,MILLER RM201,87,"Ma,Burton"

DRAM&nbsp; 220 - 001&nbsp;&nbsp; Play Reading and Analysis,Queen's University | 2022 Winter | Lecture,We 14:30 - 17:30,THEOLOGICAL RM102,57,"Waisvisz,Sarah G"

FILM&nbsp; 220 - 001&nbsp;&nbsp; Disney Pixar DreamWorks,Queen's University | 2022 Winter | Lecture,Mo 11:30 - 14:30,WALTER LIGHT RM205,192,"Robinson,Ian"

