course,type/info,day+time,location,enrollment,Instructor

FOUN&nbsp; 102 - 005&nbsp;&nbsp; Historical and Philosophical Foundations of Education,Queen's University | 2022 Winter | Tutorial,Th 13:30 - 15:30,DUNCAN MCARTHUR RM A341,48,Staff

FOUN&nbsp; 102 - 006&nbsp;&nbsp; Historical and Philosophical Foundations of Education,Queen's University | 2022 Winter | Tutorial,Th 13:30 - 15:30,DUNCAN MCARTHUR RM B230,47,Staff

FOUN&nbsp; 102 - 007&nbsp;&nbsp; Historical and Philosophical Foundations of Education,Queen's University | 2022 Winter | Tutorial,Fr 13:30 - 15:30,DUNCAN MCARTHUR RM A241,43,Staff

FOUN&nbsp; 102 - 008&nbsp;&nbsp; Historical and Philosophical Foundations of Education,Queen's University | 2022 Winter | Tutorial,Fr 13:30 - 15:30,DUNCAN MCARTHUR RM A234,43,Staff

FOUN&nbsp; 102 - 009&nbsp;&nbsp; Historical and Philosophical Foundations of Education,Queen's University | 2022 Winter | Tutorial,Fr 13:30 - 15:30,DUNCAN MCARTHUR RM A227W,42,Staff

FOUN&nbsp; 102 - 010&nbsp;&nbsp; Historical and Philosophical Foundations of Education,Queen's University | 2022 Winter | Tutorial,Fr 13:30 - 15:30,DUNCAN MCARTHUR RM A341,40,Staff

FOUN&nbsp; 102 - 011&nbsp;&nbsp; Historical and Philosophical Foundations of Education,Queen's University | 2022 Winter | Tutorial,Fr 13:30 - 15:30,DUNCAN MCARTHUR RM B230,40,Staff

FOUN&nbsp; 102 - 600&nbsp;&nbsp; Historical and Philosophical Foundations of Education,Queen's University | 2022 Winter | Lecture,TBA,TBA,35,"Champagne,Mitch"

FOUN&nbsp; 102 - 601&nbsp;&nbsp; Historical and Philosophical Foundations of Education,Queen's University | 2022 Winter | Tutorial,TBA,TBA,7,"Champagne,Mitch"

FOUN&nbsp; 102 - 602&nbsp;&nbsp; Historical and Philosophical Foundations of Education,Queen's University | 2022 Winter | Tutorial,TBA,TBA,17,"Champagne,Mitch"

FOUN&nbsp; 102 - 603&nbsp;&nbsp; Historical and Philosophical Foundations of Education,Queen's University | 2022 Winter | Tutorial,TBA,TBA,11,Staff

GRMN&nbsp; 102 - 001&nbsp;&nbsp; Beginner's German II,Queen's University | 2022 Winter | Lecture,Tu 13:00 - 14:30,KINGSTON RM104,20,"Holzschuh,Monika"

GRMN&nbsp; 102 - 002&nbsp;&nbsp; Beginner's German II,Queen's University | 2022 Winter | Lecture,Tu 10:00 - 11:30,ONTARIO RM209,12,"Holzschuh,Monika"

HLTH&nbsp; 102 - 001&nbsp;&nbsp; Personal Health and Wellness,Queen's University | 2022 Winter | Lecture,Mo 13:30 - 14:30,DUNNING AUD,421,"Morgan,Tami"

LLCU&nbsp; 102 - 001&nbsp;&nbsp; Beginning Indigenous Language and Culture II,Queen's University | 2022 Winter | Seminar,00:00 - 00:00,TBA,7,"Moore,StoneHorse"

MOHK&nbsp; 102 - 001&nbsp;&nbsp; Beginning Mohawk Language &amp; Culture ll,Queen's University | 2022 Winter | Lecture,Tu 10:00 - 11:30,KINGSTON RM313,10,"Brinklow,Nathan"

APSC&nbsp; 103 - 100&nbsp;&nbsp; Engineering Design Project,Queen's University | 2022 Winter | Lecture,TBA,TBA,3,"Blight,Stephen"

APSC&nbsp; 103 - 101&nbsp;&nbsp; Engineering Design Project,Queen's University | 2022 Winter | Lecture,TBA,TBA,5,"Blight,Stephen"

APSC&nbsp; 103 - 102&nbsp;&nbsp; Engineering Design Project,Queen's University | 2022 Winter | Lecture,TBA,TBA,0,"Blight,Stephen"

APSC&nbsp; 103 - 103&nbsp;&nbsp; Engineering Design Project,Queen's University | 2022 Winter | Lecture,TBA,TBA,0,"Blight,Stephen"

APSC&nbsp; 103 - 104&nbsp;&nbsp; Engineering Design Project,Queen's University | 2022 Winter | Lecture,TBA,TBA,0,"Blight,Stephen"

